"scientificName","catalogNumber","institutionCode","year","month","day","decimalLongitude","decimalLatitude"
"Podocarpus nubigenus Lindl.","252783846","iNaturalist",2024,11,22,-73.311461,-39.700869
"Podocarpus nubigenus Lindl.","250158459","iNaturalist",2024,10,31,-73.15189,-46.503512
"Podocarpus nubigenus Lindl.","250632417","iNaturalist",2024,11,5,-73.781714,-43.016487
"Podocarpus nubigenus Lindl.","248361046","iNaturalist",2024,10,20,-72.382655,-42.340708
"Podocarpus nubigenus Lindl.","247848010","iNaturalist",2024,10,10,-74.084722,-43.347746
"Podocarpus nubigenus Lindl.","111574963","iNaturalist",2022,3,17,-72.130699,-44.156222
"Podocarpus nubigenus Lindl.","111574961","iNaturalist",2022,3,17,-72.130699,-44.156222
"Podocarpus nubigenus Lindl.","213881899","iNaturalist",2022,12,5,-73.435464,-40.192626
"Podocarpus nubigenus Lindl.","110199518","iNaturalist",2022,3,20,-72.578631,-42.658855
"Podocarpus nubigenus Lindl.","105171884","iNaturalist",2021,12,24,-72.129791,-41.410544
"Podocarpus nubigenus Lindl.","232991689","iNaturalist",2010,11,4,-72.40473,-42.377411
"Podocarpus nubigenus Lindl.","147212230","iNaturalist",2022,12,3,-72.581138,-41.589261
"Podocarpus nubigenus Lindl.","107448587","iNaturalist",2009,12,18,-72.593778,-41.593292
"Podocarpus nubigenus Lindl.","110199519","iNaturalist",2022,3,20,-72.578631,-42.658855
"Podocarpus nubigenus Lindl.","205745243","iNaturalist",2024,2,16,-73.532892,-47.796035
"Podocarpus nubigenus Lindl.","234837622","iNaturalist",2024,2,29,-73.778701,-43.013674
"Podocarpus nubigenus Lindl.","234836330","iNaturalist",2024,2,27,-71.727893,-39.171906
"Podocarpus nubigenus Lindl.","229707469","iNaturalist",2024,7,14,-73.434436,-40.194013
"Podocarpus nubigenus Lindl.","214719708","iNaturalist",2024,5,7,-73.314195,-39.694862
"Podocarpus nubigenus Lindl.","205979682","iNaturalist",2024,4,7,-73.152153,-46.500508
"Podocarpus nubigenus Lindl.","199485874","iNaturalist",2024,2,16,-73.532813,-47.796045
"Podocarpus nubigenus Lindl.","125705587","iNaturalist",2022,7,10,-72.565323,-41.581224
"Podocarpus nubigenus Lindl.","201036901","iNaturalist",2024,2,16,-73.53289,-47.796051
"Podocarpus nubigenus Lindl.","201023321","iNaturalist",2024,2,16,-73.533009,-47.796051
"Podocarpus nubigenus Lindl.","201068886","iNaturalist",2024,2,29,-72.306724,-40.834513
"Podocarpus nubigenus Lindl.","200657631","iNaturalist",2024,2,27,-72.980538,-41.310903
"Podocarpus nubigenus Lindl.","199623600","iNaturalist",2024,2,16,-73.532883,-47.796078
"Podocarpus nubigenus Lindl.","199272859","iNaturalist",2024,1,16,-72.588403,-41.592474
"Podocarpus nubigenus Lindl.","187767692","iNaturalist",2023,9,16,-73.97067,-42.770819
"Podocarpus nubigenus Lindl.","150992587","iNaturalist",2023,3,12,-73.032289,-41.406331
"Podocarpus nubigenus Lindl.","192466429","iNaturalist",2023,11,5,-73.00315,-47.663637
"Podocarpus nubigenus Lindl.","187236300","iNaturalist",2023,10,10,-72.309027,-40.735517
